institutionId,institution,sector,type,typeCode,foreign,province,city,cityCode,provinceCode,year,score,governance,dataPotential,infrastructure,coreTechnology,operationMomentum,serviceReengineering,riskManagement,sustainability
1,安徽枞阳农村商业银行,银行,农村商业银行,1,0,安徽省,铜陵市,340700,34,2022,0.077333,0.0,0.0,0.0,0.0,0.283333,0.109091,0.109091,0.0
1,安徽枞阳农村商业银行,银行,农村商业银行,1,0,安徽省,铜陵市,340700,34,2023,0.181333,0.133333,0.175,0.030769,0.142857,0.383333,0.363636,0.090909,0.0
1,安徽枞阳农村商业银行,银行,农村商业银行,1,0,安徽省,铜陵市,340700,34,2024,0.170667,0.133333,0.125,0.030769,0.142857,0.3,0.4,0.109091,0.0
2,安徽定远农村商业银行,银行,农村商业银行,1,0,安徽省,滁州市,341100,34,2022,0.069333,0.0,0.0,0.0,0.0,0.0,0.145455,0.327273,0.0
2,安徽定远农村商业银行,银行,农村商业银行,1,0,安徽省,滁州市,341100,34,2023,0.146667,0.4,0.0,0.0,0.142857,0.233333,0.218182,0.109091,0.0
2,安徽定远农村商业银行,银行,农村商业银行,1,0,安徽省,滁州市,341100,34,2024,0.264,0.0,0.0,0.0,0.142857,0.766667,0.236364,0.636364,0.0
2,安徽定远农村商业银行,银行,农村商业银行,1,0,安徽省,滁州市,341100,34,2025,0.005333,0.0,0.0,0.0,0.0,0.0,0.036364,0.0,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2014,0.050667,0.0,0.0,0.0,0.0,0.25,0.072727,0.0,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2015,0.074667,0.0,0.0,0.0,0.0,0.3,0.109091,0.072727,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2016,0.077333,0.0,0.125,0.0,0.0,0.216667,0.109091,0.072727,0.05
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2017,0.144,0.0,0.075,0.0,0.028571,0.216667,0.181818,0.490909,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2018,0.074667,0.0,0.15,0.0,0.057143,0.116667,0.163636,0.072727,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2019,0.088,0.0,0.15,0.0,0.485714,0.0,0.072727,0.109091,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2020,0.032,0.0,0.0,0.0,0.0,0.0,0.090909,0.127273,0.0
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2021,0.218667,0.066667,0.35,0.0,0.085714,0.583333,0.272727,0.145455,0.2
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2022,0.32,0.244444,0.275,0.0,0.485714,0.583333,0.636364,0.127273,0.2
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2023,0.413333,0.244444,0.525,0.0,0.6,0.616667,0.527273,0.581818,0.2
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2024,0.338667,0.266667,0.55,0.0,0.457143,0.65,0.509091,0.109091,0.2
3,安徽肥东农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2017,0.154667,0.0,0.1,0.0,0.0,0.2,0.145455,0.618182,0.0
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2018,0.192,0.0,0.225,0.0,0.028571,0.3,0.2,0.6,0.0
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2019,0.205333,0.044444,0.275,0.0,0.028571,0.3,0.218182,0.6,0.0
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2021,0.224,0.0,0.25,0.0,0.057143,0.3,0.327273,0.581818,0.2
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2022,0.224,0.0,0.0,0.0,0.142857,0.283333,0.454545,0.6,0.2
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2023,0.290667,0.0,0.3,0.0,0.0,0.533333,0.472727,0.618182,0.25
4,安徽肥西农村商业银行,银行,农村商业银行,1,0,安徽省,合肥市,340100,34,2024,0.248,0.133333,0.525,0.0,0.057143,0.533333,0.363636,0.127273,0.25
5,安徽固镇农村商业银行,银行,农村商业银行,1,0,安徽省,蚌埠市,340300,34,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,安徽含山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2022,0.157333,0.0,0.45,0.0,0.142857,0.3,0.272727,0.054545,0.0
6,安徽含山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2023,0.117333,0.0,0.225,0.0,0.0,0.266667,0.290909,0.054545,0.0
6,安徽含山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2024,0.138667,0.0,0.475,0.0,0.0,0.25,0.290909,0.036364,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2017,0.136,0.0,0.5,0.0,0.0,0.0,0.090909,0.327273,0.4
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2018,0.157333,0.0,0.0,0.538462,0.0,0.233333,0.181818,0.0,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2019,0.312,0.0,0.5,0.446154,0.0,0.6,0.218182,0.363636,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2020,0.114667,0.0,0.0,0.0,0.0,0.65,0.072727,0.0,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2021,0.349333,0.0,0.5,0.476923,0.142857,0.733333,0.309091,0.254545,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2022,0.210667,0.0,0.5,0.0,0.0,0.633333,0.272727,0.109091,0.0
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2023,0.088,0.0,0.0,0.0,0.0,0.25,0.2,0.109091,0.05
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2024,0.36,0.133333,0.525,0.476923,0.0,0.266667,0.290909,0.745455,0.2
7,安徽利辛农村商业银行,银行,农村商业银行,1,0,安徽省,亳州市,341600,34,2025,0.029333,0.0,0.0,0.0,0.0,0.0,0.127273,0.072727,0.0
8,安徽马鞍山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2023,0.082667,0.0,0.0,0.092308,0.0,0.183333,0.145455,0.109091,0.0
8,安徽马鞍山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2024,0.125333,0.0,0.425,0.076923,0.0,0.183333,0.145455,0.109091,0.0
8,安徽马鞍山农村商业银行,银行,农村商业银行,1,0,安徽省,马鞍山市,340500,34,2025,0.053333,0.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0
9,安徽南陵农村商业银行,银行,农村商业银行,1,0,安徽省,芜湖市,340200,34,2019,0.133333,0.0,0.425,0.092308,0.057143,0.25,0.072727,0.090909,0.05
9,安徽南陵农村商业银行,银行,农村商业银行,1,0,安徽省,芜湖市,340200,34,2020,0.058667,0.0,0.0,0.0,0.0,0.183333,0.054545,0.127273,0.05
9,安徽南陵农村商业银行,银行,农村商业银行,1,0,安徽省,芜湖市,340200,34,2021,0.093333,0.0,0.15,0.076923,0.0,0.133333,0.2,0.072727,0.05
9,安徽南陵农村商业银行,银行,农村商业银行,1,0,安徽省,芜湖市,340200,34,2022,0.090667,0.0,0.0,0.061538,0.028571,0.283333,0.218182,0.0,0.0
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2019,0.232,0.222222,0.55,0.0,0.142857,0.45,0.290909,0.109091,0.05
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2020,0.101333,0.0,0.0,0.0,0.142857,0.25,0.2,0.109091,0.05
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2021,0.226667,0.0,0.05,0.0,0.142857,0.366667,0.345455,0.6,0.2
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2022,0.24,0.0,0.0,0.0,0.142857,0.6,0.309091,0.581818,0.0
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2023,0.176,0.0,0.55,0.0,0.142857,0.233333,0.327273,0.109091,0.05
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2024,0.202667,0.0,0.05,0.0,0.142857,0.233333,0.327273,0.6,0.2
10,安徽宁国农村商业银行,银行,农村商业银行,1,0,安徽省,宣城市,341800,34,2025,0.069333,0.0,0.0,0.0,0.0,0.266667,0.127273,0.036364,0.05
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2019,0.114667,0.0,0.475,0.0,0.0,0.216667,0.163636,0.036364,0.0
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2020,0.210667,0.044444,0.575,0.0,0.142857,0.3,0.254545,0.309091,0.0
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2021,0.288,0.0,0.5,0.0,0.142857,0.6,0.254545,0.6,0.0
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2022,0.154667,0.0,0.475,0.0,0.0,0.25,0.345455,0.090909,0.0
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2023,0.192,0.0,0.275,0.0,0.371429,0.333333,0.363636,0.054545,0.25
11,安徽祁门农村商业银行,银行,农村商业银行,1,0,安徽省,黄山市,341000,34,2024,0.016,0.0,0.0,0.0,0.0,0.0,0.109091,0.0,0.0
12,安徽潜山农村商业银行,银行,农村商业银行,1,0,安徽省,安庆市,340800,34,2017,0.032,0.0,0.075,0.0,0.028571,0.0,0.090909,0.036364,0.05
